,,timestamp
10,647958,2021-09-10 01:26:23.666
10,647959,2021-09-10 01:26:25.978
10,647960,2021-09-10 01:26:25.986
10,647961,2021-09-10 01:26:25.994
10,647962,2021-09-10 01:26:26.002
10,647963,2021-09-10 01:26:26.010
10,647964,2021-09-10 01:26:26.018
10,647965,2021-09-10 01:26:26.026
10,647966,2021-09-10 01:26:26.034
10,647967,2021-09-10 01:26:26.042
10,647968,2021-09-10 01:26:26.050
10,647969,2021-09-10 01:26:26.058
10,647970,2021-09-10 01:26:26.066
10,647971,2021-09-10 01:26:26.074
10,647972,2021-09-10 01:26:26.082
10,647973,2021-09-10 01:26:26.090
10,647974,2021-09-10 01:26:26.098
10,647975,2021-09-10 01:26:26.106
10,647976,2021-09-10 01:26:26.114
10,647977,2021-09-10 01:26:26.122
10,647978,2021-09-10 01:26:26.130
10,647979,2021-09-10 01:26:26.138
10,647980,2021-09-10 01:26:26.146
10,647981,2021-09-10 01:26:26.154
10,647982,2021-09-10 01:26:26.162
10,647983,2021-09-10 01:26:26.170
10,647984,2021-09-10 01:26:26.178
10,647985,2021-09-10 01:26:26.186
10,647986,2021-09-10 01:26:26.194
10,647987,2021-09-10 01:26:26.202
10,647988,2021-09-10 01:26:26.210
10,647989,2021-09-10 01:26:26.218
10,647990,2021-09-10 01:26:26.226
10,647991,2021-09-10 01:26:26.234
10,647992,2021-09-10 01:26:26.242
10,647993,2021-09-10 01:26:26.250
10,647994,2021-09-10 01:26:26.258
10,647995,2021-09-10 01:26:26.266
10,647996,2021-09-10 01:26:26.274
10,647997,2021-09-10 01:26:26.282
10,647998,2021-09-10 01:26:26.290
10,647999,2021-09-10 01:26:26.298
10,648000,2021-09-10 01:26:26.306
10,648001,2021-09-10 01:26:26.314
10,648002,2021-09-10 01:26:26.322
10,648003,2021-09-10 01:26:26.330
10,648004,2021-09-10 01:26:26.338
10,648005,2021-09-10 01:26:26.346
10,648006,2021-09-10 01:26:26.354
10,648007,2021-09-10 01:26:26.362
10,648008,2021-09-10 01:26:26.370
10,648009,2021-09-10 01:26:26.378
10,648010,2021-09-10 01:26:26.386
10,648011,2021-09-10 01:26:26.394
10,648012,2021-09-10 01:26:26.402
10,648013,2021-09-10 01:26:26.410
10,648014,2021-09-10 01:26:26.418
10,648015,2021-09-10 01:26:26.426
10,648016,2021-09-10 01:26:26.434
10,648017,2021-09-10 01:26:26.442
10,648018,2021-09-10 01:26:26.450
10,648019,2021-09-10 01:26:26.458
10,648020,2021-09-10 01:26:26.466
10,648021,2021-09-10 01:26:26.474
10,648022,2021-09-10 01:26:26.482
10,648023,2021-09-10 01:26:26.490
10,648024,2021-09-10 01:26:26.498
10,648025,2021-09-10 01:26:26.506
10,648026,2021-09-10 01:26:26.514
10,648027,2021-09-10 01:26:26.522
10,648028,2021-09-10 01:26:26.530
10,648029,2021-09-10 01:26:26.538
10,648030,2021-09-10 01:26:26.546
10,648031,2021-09-10 01:26:26.554
10,648032,2021-09-10 01:26:26.562
10,648033,2021-09-10 01:26:26.570
10,648034,2021-09-10 01:26:26.578
10,648035,2021-09-10 01:26:26.586
10,648036,2021-09-10 01:26:26.594
10,648037,2021-09-10 01:26:26.602
10,648038,2021-09-10 01:26:26.610
10,648039,2021-09-10 01:26:26.618
10,648040,2021-09-10 01:26:26.626
10,648041,2021-09-10 01:26:26.634
10,648042,2021-09-10 01:26:26.642
10,648043,2021-09-10 01:26:26.650
10,648044,2021-09-10 01:26:26.658
10,648045,2021-09-10 01:26:26.666
10,648046,2021-09-10 01:26:26.674
10,648047,2021-09-10 01:26:26.682
10,648048,2021-09-10 01:26:26.690
10,648049,2021-09-10 01:26:26.698
10,648050,2021-09-10 01:26:26.706
10,648051,2021-09-10 01:26:26.714
10,648052,2021-09-10 01:26:26.722
10,648053,2021-09-10 01:26:26.730
10,648054,2021-09-10 01:26:26.738
10,648055,2021-09-10 01:26:26.746
10,648056,2021-09-10 01:26:26.754
10,648057,2021-09-10 01:26:26.762
10,648058,2021-09-10 01:26:26.770
10,648059,2021-09-10 01:26:26.778
10,648060,2021-09-10 01:26:26.786
