,,data
10,647958,96.0
10,647959,83.0
10,647960,61.0
10,647961,30.0
10,647962,0.0
10,647963,-26.0
10,647964,-41.0
10,647965,-50.0
10,647966,-57.0
10,647967,-60.0
10,647968,-60.0
10,647969,-58.0
10,647970,-57.0
10,647971,-53.0
10,647972,-42.0
10,647973,-25.0
10,647974,-7.0
10,647975,-1.0
10,647976,-12.0
10,647977,-32.0
10,647978,-45.0
10,647979,-53.0
10,647980,-58.0
10,647981,-58.0
10,647982,-63.0
10,647983,-71.0
10,647984,8.0
10,647985,197.0
10,647986,278.0
10,647987,130.0
10,647988,-38.0
10,647989,-73.0
10,647990,-51.0
10,647991,-42.0
10,647992,-41.0
10,647993,-42.0
10,647994,-38.0
10,647995,-35.0
10,647996,-27.0
10,647997,-17.0
10,647998,-7.0
10,647999,2.0
10,648000,10.0
10,648001,20.0
10,648002,30.0
10,648003,38.0
10,648004,46.0
10,648005,53.0
10,648006,62.0
10,648007,71.0
10,648008,75.0
10,648009,70.0
10,648010,52.0
10,648011,25.0
10,648012,-6.0
10,648013,-33.0
10,648014,-51.0
10,648015,-60.0
10,648016,-65.0
10,648017,-68.0
10,648018,-72.0
10,648019,-73.0
10,648020,-72.0
10,648021,-68.0
10,648022,-60.0
10,648023,-46.0
10,648024,-30.0
10,648025,-15.0
10,648026,-10.0
10,648027,-20.0
10,648028,-38.0
10,648029,-50.0
10,648030,-53.0
10,648031,-55.0
10,648032,-55.0
10,648033,-62.0
10,648034,-67.0
10,648035,21.0
10,648036,225.0
10,648037,307.0
10,648038,151.0
10,648039,-25.0
10,648040,-58.0
10,648041,-37.0
10,648042,-27.0
10,648043,-17.0
10,648044,-11.0
10,648045,-7.0
10,648046,-10.0
10,648047,-6.0
10,648048,0.0
10,648049,5.0
10,648050,12.0
10,648051,21.0
10,648052,30.0
10,648053,41.0
10,648054,52.0
10,648055,62.0
10,648056,72.0
10,648057,85.0
10,648058,93.0
10,648059,98.0
10,648060,96.0
10,648061,77.0
10,648062,45.0
10,648063,13.0
10,648064,-12.0
10,648065,-32.0
10,648066,-46.0
10,648067,-51.0
10,648068,-53.0
10,648069,-52.0
10,648070,-52.0
10,648071,-52.0
10,648072,-51.0
10,648073,-45.0
10,648074,-36.0
10,648075,-25.0
10,648076,-15.0
10,648077,-17.0
10,648078,-32.0
10,648079,-50.0
10,648080,-60.0
10,648081,-63.0
10,648082,-65.0
10,648083,-70.0
10,648084,-83.0
10,648085,-56.0
10,648086,100.0
10,648087,262.0
10,648088,201.0
10,648089,8.0
10,648090,-77.0
10,648091,-60.0
10,648092,-42.0
10,648093,-38.0
10,648094,-35.0
10,648095,-32.0
10,648096,-33.0
10,648097,-27.0
10,648098,-18.0
10,648099,-11.0
10,648100,-2.0
10,648101,7.0
10,648102,20.0
10,648103,31.0
10,648104,40.0
10,648105,47.0
10,648106,56.0
10,648107,63.0
10,648108,72.0
10,648109,80.0
10,648110,80.0
10,648111,68.0
10,648112,43.0
10,648113,13.0
10,648114,-15.0
10,648115,-38.0
10,648116,-56.0
10,648117,-66.0
10,648118,-72.0
10,648119,-75.0
10,648120,-76.0
10,648121,-75.0
10,648122,-71.0
10,648123,-65.0
10,648124,-58.0
10,648125,-51.0
10,648126,-36.0
10,648127,-25.0
10,648128,-32.0
10,648129,-52.0
10,648130,-70.0
10,648131,-81.0
10,648132,-83.0
10,648133,-77.0
10,648134,-75.0
10,648135,-85.0
10,648136,-35.0
10,648137,155.0
10,648138,305.0
10,648139,206.0
10,648140,10.0
10,648141,-61.0
10,648142,-46.0
10,648143,-37.0
10,648144,-32.0
10,648145,-25.0
10,648146,-16.0
10,648147,-10.0
10,648148,-3.0
10,648149,0.0
10,648150,7.0
10,648151,15.0
10,648152,25.0
10,648153,37.0
10,648154,51.0
10,648155,65.0
10,648156,80.0
10,648157,92.0
10,648158,108.0
10,648159,120.0
10,648160,125.0
10,648161,123.0
10,648162,108.0
10,648163,82.0
10,648164,52.0
10,648165,20.0
10,648166,-6.0
10,648167,-26.0
10,648168,-40.0
10,648169,-48.0
10,648170,-55.0
10,648171,-56.0
10,648172,-56.0
10,648173,-55.0
10,648174,-48.0
10,648175,-38.0
10,648176,-27.0
10,648177,-16.0
10,648178,-12.0
10,648179,-25.0
10,648180,-41.0
10,648181,-53.0
10,648182,-56.0
10,648183,-55.0
10,648184,-53.0
10,648185,-61.0
10,648186,-66.0
10,648187,41.0
10,648188,233.0
10,648189,288.0
10,648190,110.0
10,648191,-41.0
10,648192,-62.0
10,648193,-40.0
10,648194,-36.0
10,648195,-33.0
10,648196,-31.0
10,648197,-30.0
10,648198,-31.0
10,648199,-26.0
10,648200,-20.0
10,648201,-11.0
10,648202,-3.0
10,648203,6.0
10,648204,20.0
10,648205,33.0
10,648206,45.0
10,648207,53.0
10,648208,62.0
10,648209,71.0
10,648210,77.0
10,648211,76.0
10,648212,62.0
10,648213,37.0
10,648214,8.0
10,648215,-15.0
10,648216,-35.0
10,648217,-50.0
10,648218,-61.0
10,648219,-66.0
10,648220,-70.0
10,648221,-73.0
10,648222,-75.0
10,648223,-75.0
10,648224,-72.0
10,648225,-61.0
10,648226,-50.0
10,648227,-42.0
10,648228,-41.0
10,648229,-47.0
10,648230,-62.0
10,648231,-76.0
10,648232,-80.0
10,648233,-78.0
10,648234,-75.0
10,648235,-78.0
10,648236,-93.0
10,648237,-37.0
10,648238,151.0
10,648239,280.0
10,648240,167.0
10,648241,-20.0
10,648242,-78.0
10,648243,-55.0
10,648244,-42.0
10,648245,-35.0
10,648246,-28.0
10,648247,-22.0
10,648248,-12.0
10,648249,-3.0
10,648250,2.0
10,648251,8.0
10,648252,16.0
10,648253,26.0
10,648254,40.0
10,648255,56.0
10,648256,73.0
10,648257,95.0
10,648258,110.0
10,648259,113.0
10,648260,112.0
10,648261,113.0
10,648262,112.0
10,648263,98.0
10,648264,73.0
10,648265,38.0
10,648266,2.0
10,648267,-25.0
10,648268,-43.0
10,648269,-53.0
10,648270,-60.0
10,648271,-60.0
10,648272,-58.0
10,648273,-57.0
10,648274,-55.0
10,648275,-50.0
10,648276,-43.0
10,648277,-32.0
10,648278,-18.0
10,648279,-13.0
10,648280,-23.0
10,648281,-37.0
10,648282,-47.0
10,648283,-48.0
10,648284,-48.0
10,648285,-52.0
10,648286,-67.0
10,648287,-52.0
10,648288,80.0
10,648289,293.0
10,648290,257.0
10,648291,66.0
10,648292,-70.0
10,648293,-58.0
10,648294,-41.0
10,648295,-37.0
10,648296,-35.0
10,648297,-32.0
10,648298,-27.0
10,648299,-23.0
10,648300,-18.0
10,648301,-8.0
10,648302,-1.0
10,648303,8.0
10,648304,20.0
10,648305,31.0
10,648306,38.0
10,648307,45.0
10,648308,52.0
10,648309,62.0
10,648310,72.0
10,648311,77.0
10,648312,77.0
10,648313,65.0
10,648314,43.0
10,648315,17.0
10,648316,-8.0
10,648317,-31.0
10,648318,-47.0
10,648319,-60.0
10,648320,-68.0
10,648321,-72.0
10,648322,-71.0
10,648323,-70.0
10,648324,-70.0
10,648325,-61.0
10,648326,-47.0
10,648327,-35.0
10,648328,-28.0
10,648329,-27.0
10,648330,-36.0
10,648331,-51.0
10,648332,-63.0
10,648333,-73.0
10,648334,-73.0
10,648335,-73.0
10,648336,-78.0
10,648337,-91.0
10,648338,-25.0
10,648339,172.0
10,648340,300.0
10,648341,177.0
10,648342,-12.0
10,648343,-67.0
10,648344,-45.0
10,648345,-35.0
10,648346,-30.0
10,648347,-25.0
10,648348,-20.0
10,648349,-15.0
10,648350,-10.0
10,648351,-2.0
10,648352,7.0
10,648353,20.0
10,648354,31.0
10,648355,43.0
10,648356,55.0
10,648357,63.0
10,648358,72.0
10,648359,81.0
10,648360,91.0
10,648361,101.0
10,648362,108.0
10,648363,105.0
10,648364,87.0
10,648365,61.0
10,648366,32.0
10,648367,5.0
10,648368,-20.0
10,648369,-40.0
10,648370,-50.0
10,648371,-55.0
10,648372,-58.0
10,648373,-60.0
10,648374,-63.0
10,648375,-65.0
10,648376,-58.0
10,648377,-45.0
10,648378,-30.0
10,648379,-16.0
10,648380,-13.0
10,648381,-26.0
10,648382,-42.0
10,648383,-53.0
10,648384,-56.0
10,648385,-57.0
10,648386,-56.0
10,648387,-68.0
10,648388,-48.0
10,648389,98.0
10,648390,277.0
10,648391,222.0
10,648392,27.0
10,648393,-75.0
10,648394,-61.0
10,648395,-45.0
10,648396,-42.0
10,648397,-42.0
10,648398,-40.0
10,648399,-35.0
10,648400,-30.0
10,648401,-25.0
10,648402,-17.0
10,648403,-7.0
10,648404,5.0
10,648405,15.0
10,648406,26.0
10,648407,33.0
10,648408,42.0
10,648409,55.0
10,648410,68.0
10,648411,77.0
10,648412,83.0
10,648413,83.0
10,648414,72.0
10,648415,51.0
10,648416,23.0
10,648417,-2.0
10,648418,-26.0
10,648419,-43.0
10,648420,-52.0
10,648421,-55.0
10,648422,-57.0
10,648423,-61.0
10,648424,-63.0
10,648425,-60.0
10,648426,-50.0
10,648427,-40.0
10,648428,-27.0
10,648429,-15.0
10,648430,-10.0
10,648431,-23.0
10,648432,-45.0
10,648433,-61.0
10,648434,-67.0
10,648435,-65.0
10,648436,-62.0
10,648437,-71.0
10,648438,-80.0
10,648439,8.0
10,648440,211.0
10,648441,296.0
10,648442,133.0
10,648443,-47.0
10,648444,-86.0
10,648445,-70.0
10,648446,-65.0
10,648447,-61.0
10,648448,-57.0
10,648449,-52.0
10,648450,-43.0
10,648451,-33.0
10,648452,-26.0
10,648453,-22.0
10,648454,-15.0
10,648455,-5.0
10,648456,7.0
10,648457,21.0
10,648458,32.0
10,648459,47.0
10,648460,61.0
10,648461,76.0
10,648462,90.0
10,648463,97.0
10,648464,92.0
10,648465,76.0
10,648466,50.0
10,648467,20.0
10,648468,-6.0
10,648469,-23.0
10,648470,-36.0
10,648471,-43.0
10,648472,-47.0
10,648473,-50.0
10,648474,-50.0
10,648475,-48.0
10,648476,-41.0
10,648477,-30.0
10,648478,-20.0
10,648479,-7.0
10,648480,1.0
10,648481,-1.0
10,648482,-17.0
10,648483,-33.0
10,648484,-45.0
10,648485,-48.0
10,648486,-50.0
10,648487,-53.0
10,648488,-67.0
10,648489,-41.0
10,648490,116.0
10,648491,308.0
10,648492,253.0
10,648493,52.0
10,648494,-63.0
10,648495,-53.0
10,648496,-40.0
10,648497,-33.0
10,648498,-30.0
10,648499,-27.0
10,648500,-26.0
10,648501,-27.0
10,648502,-20.0
10,648503,-12.0
10,648504,-1.0
10,648505,8.0
10,648506,20.0
10,648507,31.0
10,648508,42.0
10,648509,55.0
10,648510,68.0
10,648511,83.0
10,648512,97.0
10,648513,105.0
10,648514,103.0
10,648515,92.0
10,648516,70.0
10,648517,40.0
10,648518,8.0
10,648519,-17.0
10,648520,-38.0
10,648521,-52.0
10,648522,-57.0
10,648523,-61.0
10,648524,-65.0
10,648525,-70.0
10,648526,-67.0
10,648527,-63.0
10,648528,-52.0
10,648529,-37.0
10,648530,-26.0
10,648531,-30.0
10,648532,-47.0
10,648533,-65.0
10,648534,-75.0
10,648535,-77.0
10,648536,-72.0
10,648537,-68.0
10,648538,-81.0
10,648539,-47.0
10,648540,117.0
10,648541,265.0
10,648542,182.0
10,648543,-8.0
10,648544,-82.0
10,648545,-57.0
10,648546,-40.0
10,648547,-33.0
10,648548,-33.0
10,648549,-36.0
10,648550,-37.0
10,648551,-32.0
10,648552,-22.0
10,648553,-8.0
10,648554,2.0
10,648555,8.0
10,648556,16.0
10,648557,27.0
10,648558,36.0
10,648559,46.0
10,648560,55.0
10,648561,67.0
10,648562,77.0
10,648563,81.0
10,648564,76.0
10,648565,58.0
10,648566,33.0
10,648567,8.0
10,648568,-15.0
10,648569,-37.0
10,648570,-53.0
10,648571,-63.0
10,648572,-67.0
10,648573,-66.0
10,648574,-63.0
10,648575,-63.0
10,648576,-60.0
10,648577,-53.0
10,648578,-40.0
10,648579,-22.0
10,648580,-8.0
10,648581,-6.0
10,648582,-20.0
10,648583,-35.0
10,648584,-45.0
